"","Vassdrag","year","pH","Ca","Turbiditet","SiO2","TOC","POC","DOC","TotP","TotN","NH4","NO3","TON","As","Pb","Cd","Cu","Cr","Ni","Zn","abs_254.nm","abs_285.nm","abs_365.nm","abs_410.nm"
"73","Sokndalselva",2021,22,22,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"74","Sokndalselva",2022,22,22,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"75","Sokndalselva",2023,22,22,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"76","Suldalsl†gen",2019,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
"77","Suldalsl†gen",2020,20,20,12,13,20,12,12,13,13,12,13,12,12,12,12,12,12,12,12,4,4,4,4
"78","Suldalsl†gen",2021,22,22,12,16,22,12,12,16,16,12,16,12,12,12,12,12,11,12,12,12,12,12,12
"79","Suldalsl†gen",2022,22,22,12,16,22,12,12,16,16,12,16,12,12,12,12,12,12,12,12,12,12,12,12
"80","Suldalsl†gen",2023,20,20,11,14,20,11,11,14,14,11,14,11,11,11,11,11,11,11,11,11,11,11,11
"81","Tovdalselva",2019,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
"82","Tovdalselva",2020,18,18,10,12,18,10,10,12,12,10,12,10,10,10,10,10,10,10,10,3,3,3,3
"83","Tovdalselva",2021,22,20,12,16,22,12,12,16,16,12,16,12,12,12,12,12,11,12,12,12,12,12,12
"84","Tovdalselva",2022,22,22,12,16,22,12,12,16,16,12,16,12,12,12,12,12,12,12,12,12,12,12,12
"85","Uskedalselva",2019,29,29,0,9,9,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"86","Uskedalselva",2020,23,23,0,7,13,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"87","Uskedalselva",2021,39,39,0,16,23,0,0,15,17,0,17,0,0,0,1,1,0,0,1,0,0,0,0
"88","Uskedalselva",2022,41,41,4,13,24,0,0,18,18,4,14,0,0,0,0,1,0,0,0,0,0,0,0
"89","Uskedalselva",2023,35,35,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"90","Yndelsdalselva",2019,33,33,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"91","Yndelsdalselva",2020,33,33,0,13,18,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"92","Yndelsdalselva",2021,33,33,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"93","Yndelsdalselva",2022,33,33,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"94","Yndelsdalselva",2023,35,35,2,12,20,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
