Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29778	STREORK	Orkla	11.02.2019 09:30																				9.35
29822	MROEDRI	Driva	03.03.2019 16:00	102.088	7.17	4.74	0.73	<0.65	1.4	1	2	230	<2	330	3.364								
29822	MROEDRI	Driva	03.03.2019 16:00																				4.99
29820	FINETAN	Tanaelva	04.03.2019 07:30	73.205	7.2	7.45	0.39	<0.33	1.5	5	5	35	<2	170	10.05								
29820	FINETAN	Tanaelva	04.03.2019 07:30																				6.73
29614	VAGEOTR	Otra	04.03.2019 08:30	138.738	6.28	1.73	0.68	0.79	2.9	1	2	96	26	230	1.901								
29614	VAGEOTR	Otra	04.03.2019 08:30																				0.952
29778	STREORK	Orkla	04.03.2019 09:10	63.07	7.49	7.29	0.64	0.63	2.6	1	3	220	<2	350	3.3								
29778	STREORK	Orkla	04.03.2019 09:10																				9.91
29837	ROGEVIK	Vikedalselva	04.03.2019 09:15	8.295	6.43	2.78	0.44	0.89	1.1	2	3	200	3	290	0.853								
29837	ROGEVIK	Vikedalselva	04.03.2019 09:15																				1.05
30019	AAGEVEG	Veg?dselva	04.03.2019 10:10	20.703	6.27	3.26	1.1	1.12	5.7	2	5	200	25	340	3.493								
30019	AAGEVEG	Veg?dselva	04.03.2019 10:10																				1.68
29819	FINEPAS	Pasvikelva	04.03.2019 10:25	101.324	7.05	3.44	0.45	1.16	2.7	1	3	64	29	260	5.7								
29819	FINEPAS	Pasvikelva	04.03.2019 10:25																				3.1
29612	BUSEDRA	Drammenselva	04.03.2019 11:30	332.829	7.1	4.45	0.94	1.05	2.8	1	4	350	10	490	3								
29842	SFJENAU	Nausta	04.03.2019 11:30	18.413	6.48	2.12	0.58	<0.5	1.6	1	2	93	<2	170	1.442								
29612	BUSEDRA	Drammenselva	04.03.2019 11:30																				4.95
29842	SFJENAU	Nausta	04.03.2019 11:30																				0.716
29783	ROGEORR	Orreelva	04.03.2019 11:35	2.957	7.59	19.5	6	7.77	7.9	10	41	1500	<2	2400	1.641								
29783	ROGEORR	Orreelva	04.03.2019 11:35																				16.8
29615	VESENUM	Numedalsl?en	04.03.2019 12:00	105.046	6.82	4.71	2.9	3.21	3.7	5	9	470	21	660	4.157								
29615	VESENUM	Numedalsl?en	04.03.2019 12:00																				3.77
38005	TROEM?2	M?selv	04.03.2019 12:30	120.564	7.54	9.19	0.89	1.14	1.7	1	5	130	3	240	3								
38005	TROEM?2	M?selv	04.03.2019 12:30																				12.2
29779	FINEALT	Altaelva	04.03.2019 12:45	26.236	7.43	7.95	<0.3	0.41	2.5	3	5	46	<2	170	5.936								
29779	FINEALT	Altaelva	04.03.2019 12:45																				9.7
29782	NOREVEF	Vefsna	04.03.2019 13:00	94.725	7.56	8.9	0.39	0.46	1.6	<1	2	66	<2	130	1.811								
29782	NOREVEF	Vefsna	04.03.2019 13:00																				10.4
29844	STRENID	Nidelva	04.03.2019 15:30	69.454	7.23	3.86	0.96	0.83	2.6	2	3	110	<2	210	2.098								
29844	STRENID	Nidelva	04.03.2019 15:30																				4.34
29617	?STEGLO	Glomma	05.03.2019 07:00	511.977	7.02	7.21	24	21.5	4.1	22	36	1100	<2	1600	4.629								
29617	?STEGLO	Glomma	05.03.2019 07:00																				6.93
36225	OSLEALN	Alna	05.03.2019 11:45	2.536	7.84	80	6.7	9.94	3.7	32	35	1200	6	2000	7.5								
36225	OSLEALN	Alna	05.03.2019 11:45																				44
29821	HOREVOS	Vosso	05.03.2019 14:20	28.884	6.55	1.83	0.41	0.56	1.1	1	2	160	<2	230	1.26								
29821	HOREVOS	Vosso	05.03.2019 14:20																				1.15
29832	ROGEBJE	Bjerkreimselva	06.03.2019 17:00	34.319	6.45	3.47	0.41	0.57	1.3	<1	3	340	5	470	1.633								
29832	ROGEBJE	Bjerkreimselva	06.03.2019 17:00																				1.3
29613	TELESKI	Skienselva	11.03.2019 09:00	269.456	6.78	2.09	0.66	0.83	2.5	1	3	160	<2	260	2.4								
29613	TELESKI	Skienselva	11.03.2019 09:00																				2.19
29617	?STEGLO	Glomma	01.04.2019 05:40	527.63	7.07	5.74	6.2	5.23	4.2	7	10	670	<2	830	4.05								
29617	?STEGLO	Glomma	01.04.2019 05:40																				5.9
29778	STREORK	Orkla	01.04.2019 08:30	42.042	7.46	8.93	1.1	1.13	3.5	2	4	320	<2	470	3.6								
29837	ROGEVIK	Vikedalselva	01.04.2019 08:30	12.034	6.39	2.44	0.38	1.43	1.2	2	4	180	6	260	0.951								
29778	STREORK	Orkla	01.04.2019 08:30																				11.4
29837	ROGEVIK	Vikedalselva	01.04.2019 08:30																				1.15
29819	FINEPAS	Pasvikelva	01.04.2019 08:36	72.472	7.09	3.41	<0.3	0.48	2.9	1	4	57	<2	150	5.914								
29819	FINEPAS	Pasvikelva	01.04.2019 08:36																				3.09
29779	FINEALT	Altaelva	01.04.2019 08:45	26.112	7.61	8.28	0.69	0.64	2.4	2	4	62	<2	150	6.214								
29779	FINEALT	Altaelva	01.04.2019 08:45																				10
29613	TELESKI	Skienselva	01.04.2019 09:00	328.178	6.78	2.09	0.98	1.93	2.5	3	5	170	<2	250	2.4								
29820	FINETAN	Tanaelva	01.04.2019 09:00	66.277	7.19	8.2	0.57	1.67	1.4	10	17	90	<2	220	10.35								
29613	TELESKI	Skienselva	01.04.2019 09:00																				2.09
29820	FINETAN	Tanaelva	01.04.2019 09:00																				7.13
29783	ROGEORR	Orreelva	01.04.2019 09:20	3.818	7.78	18.9	4.7	8.58	7.7	12	42	1400	61	2000	0.096								
29783	ROGEORR	Orreelva	01.04.2019 09:20																				16.4
29782	NOREVEF	Vefsna	01.04.2019 09:40	136.335	7.46	8.21	0.74	1.96	1.4	2	3	43	<2	95	1.464								
29782	NOREVEF	Vefsna	01.04.2019 09:40																				8.76
29821	HOREVOS	Vosso	01.04.2019 10:20	95.879	6.46	1.85	0.59	0.51	1.1	1	3	160	<2	220	1.17								
29821	HOREVOS	Vosso	01.04.2019 10:20																				1.11
29615	VESENUM	Numedalsl?en	01.04.2019 10:30	215.727	6.85	3.79	6.2	8.32	4.8	10	15	460	2	630	4.157								
29615	VESENUM	Numedalsl?en	01.04.2019 10:30																				3.53
30019	AAGEVEG	Veg?dselva	01.04.2019 10:45	34.795	6.19	2.6	1.1	1.16	5.6	2	5	180	17	340	3.021								
30019	AAGEVEG	Veg?dselva	01.04.2019 10:45																				1.37
29844	STRENID	Nidelva	01.04.2019 11:00	68.36	7.19	3.9	1.3	1.55	2.7	3	4	120	<2	210	2.164								
29844	STRENID	Nidelva	01.04.2019 11:00																				4.35
38005	TROEM?2	M?selv	01.04.2019 12:00	76.166	7.52	8.12	0.7	0.9	1.2	2	5	240	2	240	2.614								
38005	TROEM?2	M?selv	01.04.2019 12:00																				10.6
29614	VAGEOTR	Otra	01.04.2019 12:40	138.066	6.24	1.69	0.47	0.87	3	3	3	92	3	180	1.639								
29614	VAGEOTR	Otra	01.04.2019 12:40																				0.969
29822	MROEDRI	Driva	01.04.2019 13:00	90.885	7.14	4.25	0.5	1.25	1.7	2	4	190	<2	280	2.957								
29822	MROEDRI	Driva	01.04.2019 13:00																				4.29
36225	OSLEALN	Alna	02.04.2019 10:30	2.024	7.86	41.6	5.5	7.53	3.8	24	34	990	71	1300	6.471								
36225	OSLEALN	Alna	02.04.2019 10:30																				30.3
