L?penr	Vassdrag	Lokalitets-ID	Lokalitet	Dato	pH	Ca	Turbiditet	SiO2	TOC	POC	DOC	TotP	TotN	NH4	NO3	TON	As	Pb	Cd	Cu	Cr	Ni	Zn	abs_254 nm	abs_285 nm	abs_365 nm	abs_410 nm
1329	Frafjordelva	030-58838	Frafjord†na (VK1)	16.01.2023	5.8	3.1																					
1330	Frafjordelva	030-58838	Frafjord†na (VK1)	30.01.2023	6.1	1.6		1.7	1.8			2	680		830												
1331	Frafjordelva	030-58838	Frafjord†na (VK1)	06.02.2023	5.9	3.6		2.4	1.5			2	1800		1900												
1332	Frafjordelva	030-58838	Frafjord†na (VK1)	13.02.2023	5.8	0.79																					
1333	Frafjordelva	030-58838	Frafjord†na (VK1)	21.02.2023	6	0.86																					
1334	Frafjordelva	030-58838	Frafjord†na (VK1)	27.02.2023	5.9	2.8		1.7	1.2			4	1200		1200												
1335	Frafjordelva	030-58838	Frafjord†na (VK1)	06.03.2023	5.9	10																					
1336	Frafjordelva	030-58838	Frafjord†na (VK1)	13.03.2023	6.2	6.5																					
1337	Frafjordelva	030-58838	Frafjord†na (VK1)	20.03.2023	6.6	1.2																					
1338	Frafjordelva	030-58838	Frafjord†na (VK1)	27.03.2023	6.2	1.9																					
1339	Frafjordelva	030-58838	Frafjord†na (VK1)	03.04.2023	6.1	4.7		2.6	1.6			2	1800		1700												
1340	Frafjordelva	030-58838	Frafjord†na (VK1)	10.04.2023	6.3	4.1																					
1341	Frafjordelva	030-58838	Frafjord†na (VK1)	17.04.2023	6.3	1.5			1.6																		
1342	Frafjordelva	030-58838	Frafjord†na (VK1)	24.04.2023	6.3	0.69			1.3																		
1343	Frafjordelva	030-58838	Frafjord†na (VK1)	01.05.2023	6.3	5.6		2.8	2			2	2200		2300												
1344	Frafjordelva	030-58838	Frafjord†na (VK1)	08.05.2023	6.4	1.7			1.6																		
1345	Frafjordelva	030-58838	Frafjord†na (VK1)	15.05.2023	6.4	0.75			1.2																		
1346	Frafjordelva	030-58838	Frafjord†na (VK1)	22.05.2023	6.5	1			1.2																		
1347	Frafjordelva	030-58838	Frafjord†na (VK1)	29.05.2023	6.4	0.9			1.5																		
1348	Frafjordelva	030-58838	Frafjord†na (VK1)	05.06.2023	6.3	0.81		0.68	1.4			3.9	320		180												
1349	Frafjordelva	030-58838	Frafjord†na (VK1)	19.06.2023	6.3	0.51																					
1350	Frafjordelva	030-58838	Frafjord†na (VK1)	05.07.2023	6.1	0.56		0.83	3.2			9	240		140												
1351	Frafjordelva	030-58838	Frafjord†na (VK1)	10.07.2023	6.2	1.6		1.1	2.7			2.1	780		660												
1352	Frafjordelva	030-58838	Frafjord†na (VK1)	17.07.2023	6.3	0.5																					
1353	Frafjordelva	030-58838	Frafjord†na (VK1)	31.07.2023	6	3.1		1.2	2.8			2.9	1700		1200												
1354	Frafjordelva	030-58838	Frafjord†na (VK1)	07.08.2023	5.9	39		2.4	1.8			2.9	4800		4600												
1355	Frafjordelva	030-58838	Frafjord†na (VK1)	14.08.2023	6	7.2																					
1356	Frafjordelva	030-58838	Frafjord†na (VK1)	28.08.2023	6	2																					
1357	Frafjordelva	030-58838	Frafjord†na (VK1)	04.09.2023	6.2	11		3.2	2.1			9.5	5200		4900												
1358	Frafjordelva	030-58838	Frafjord†na (VK1)	18.09.2023	6.2	2.3																					
1359	Frafjordelva	030-58838	Frafjord†na (VK1)	02.10.2023	6.5	0.85		1	3			2.5	370		190												
1360	Frafjordelva	030-58838	Frafjord†na (VK1)	16.10.2023	5.8	0.78																					
1361	Frafjordelva	030-58838	Frafjord†na (VK1)	30.10.2023	6.2	5		2.1	2.7			59	2500		300												
1362	Frafjordelva	030-58838	Frafjord†na (VK1)	13.11.2023	5.9	11																					
1363	Frafjordelva	030-58838	Frafjord†na (VK1)	27.11.2023	6	1.2																					
1364	Frafjordelva	030-58838	Frafjord†na (VK1)	04.12.2023	6.2	2.1		1.7	2.4			11	1000		850												
1365	Frafjordelva	030-58838	Frafjord†na (VK1)	18.12.2023	5.8	0.61																					
1366	Frafjordelva	030-58838	Frafjord†na (VK1)	19.02.2024	6.1	0.78																					
1367	Frafjordelva	030-58838	Frafjord†na (VK1)	25.02.2024	6	0.79		1.3	1.5			2	170		130												
1368	Frafjordelva	030-58838	Frafjord†na (VK1)	03.03.2024	6	0.66																					
1369	Frafjordelva	030-58838	Frafjord†na (VK1)	10.03.2024	6.2	0.98																					
1370	Frafjordelva	030-58838	Frafjord†na (VK1)	18.03.2024	6.3	0.63																					
1371	Frafjordelva	030-58838	Frafjord†na (VK1)	25.03.2024	6.1	1.1																					
1372	Frafjordelva	030-58838	Frafjord†na (VK1)	01.04.2024	6.2	0.91		1.1	1.5			2	130		100												
1373	Frafjordelva	030-58838	Frafjord†na (VK1)	07.04.2024	6.3	0.86																					
1374	Frafjordelva	030-58838	Frafjord†na (VK1)	14.04.2024	6.2	0.68			1.6																		
1375	Frafjordelva	030-58838	Frafjord†na (VK1)	21.04.2024	6.4	1.2			0.92																		
1376	Frafjordelva	030-58838	Frafjord†na (VK1)	29.04.2024	6.4	1.3		1.1	0.97			2	160		130												
1377	Frafjordelva	030-58838	Frafjord†na (VK1)	05.05.2024	6.6	0.82			0.97																		
1378	Frafjordelva	030-58838	Frafjord†na (VK1)	12.05.2024	6.6	1			1																		
1379	Frafjordelva	030-58838	Frafjord†na (VK1)	20.05.2024	6.6	1.1			0.96																		
1380	Frafjordelva	030-58838	Frafjord†na (VK1)	26.05.2024	6.6	1.1			0.87																		
1381	Frafjordelva	030-58838	Frafjord†na (VK1)	02.06.2024	6.4	0.95		0.6	1.5			3.1	210		57												
1382	Frafjordelva	030-58838	Frafjord†na (VK1)	16.06.2024	6.4	0.77																					
1383	Frafjordelva	030-58838	Frafjord†na (VK1)	01.07.2024	6.3	0.73		0.56	1.6			2	120		86												
1384	Frafjordelva	030-58838	Frafjord†na (VK1)	07.07.2024	6.1	0.58		0.88	2.9			2	150		71												
1385	Frafjordelva	030-58838	Frafjord†na (VK1)	16.07.2024	6.5	0.78																					
1386	Frafjordelva	030-58838	Frafjord†na (VK1)	29.07.2024	6.6	0.95		0.45	1.6			2	190		130												
1387	Frafjordelva	030-58838	Frafjord†na (VK1)	04.08.2024	6.5	1.1		0.68	1.6			2	230		150												
1388	Frafjordelva	030-58838	Frafjord†na (VK1)	12.08.2024	6.1	0.53																					
1389	Frafjordelva	030-58838	Frafjord†na (VK1)	25.08.2024	7.1	0.56																					
1390	Frafjordelva	030-58838	Frafjord†na (VK1)	02.09.2024	6.4	0.87		0.9	2			2.2	200		140												
1391	Frafjordelva	030-58838	Frafjord†na (VK1)	15.09.2024	6.3	0.83																					
1392	Frafjordelva	030-58838	Frafjord†na (VK1)	29.09.2024	6.2	0.86		1.1	1.8			2	190		150												
1393	Frafjordelva	030-58838	Frafjord†na (VK1)	14.10.2024	6.3	0.84																					
1394	Frafjordelva	030-58838	Frafjord†na (VK1)	28.10.2024	5.9	0.76		1.2	1.8			2.4	130		67												
1395	Frafjordelva	030-58838	Frafjord†na (VK1)	10.11.2024	6.5	1.1																					
1396	Frafjordelva	030-58838	Frafjord†na (VK1)	25.11.2024	6	0.74																					
1397	Frafjordelva	030-58838	Frafjord†na (VK1)	04.12.2024	6.1	0.95		1.1	1.4			2	170		140												
1398	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	07.01.2019	6.34	1.17		1.12	0.88			2	110		93												
1399	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	14.01.2019	6.34	1.23																					
1400	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.02.2019	6.54	1.46		2.38	0.66			2	210		210												
1401	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	11.02.2019	6.04	0.6																					
1402	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	18.02.2019	6.42	0.89																					
1403	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	25.02.2019	6.16	0.86																					
1404	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.03.2019	6.3	0.86		1.6	1.2			2	130		120												
1405	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	11.03.2019	6.34	1.12																					
1406	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	18.03.2019	6.45	1.13																					
1407	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	25.03.2019	6.39	0.96																					
1408	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	15.04.2019	6.43	1.03																					
1409	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	22.04.2019	6.35	0.63																					
1410	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	29.04.2019	6.13	0.67																					
1411	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	05.05.2019	6.63	1.11		1.06	2.7			2	120		100												
1412	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	13.05.2019	6.25	0.88																					
1413	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	20.05.2019	6.31	0.77																					
1414	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	27.05.2019	6.18	0.71																					
1415	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	03.06.2019	6.31	0.73		0.9	2.9			2	75		60												
1416	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	17.06.2019	6.4	0.96																					
1417	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.07.2019	6.36	0.53		1.05	2.2			2	110		40												
1418	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	15.07.2019	6.66	1.09																					
1419	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	29.07.2019	6.66	1.37																					
1420	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	05.08.2019	6.63	1.2		1.51	1.5			2	190		190												
1421	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	12.08.2019	6.03	0.46																					
1422	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	26.08.2019	6.63	0.84																					
1423	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	02.09.2019	6.37	0.63		1.21	2.6			2	120		70												
1424	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	30.09.2019	6.08	0.6		1.35	2.3			2	110		60												
1425	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	07.10.2019	6.59	1.17																					
1426	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	21.10.2019	6.09	0.93																					
1427	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.11.2019	6.47	1.3		2.26	0.71			2	190		180												
1428	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	18.11.2019	6.58	1.6																					
1429	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	02.12.2019	6.59	1.42		2.52	0.94			2	240		250												
1430	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	09.12.2019	6.26	0.66																					
1431	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	06.01.2020	6.39	1.08		1.57	1.3			2	170		160												
1432	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	13.01.2020	6.25	0.73																					
1433	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	03.02.2020	6.36	0.75		1.16	1.1			2	150		100												
1434	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	10.02.2020	6.26	0.55																					
1435	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	17.02.2020	6.27	0.98																					
1436	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	24.02.2020	6.28	1.27																					
1437	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	02.03.2020	6.33	1.48		1.82	0.59			2	150		140												
1438	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	09.03.2020	6.06	1.04																					
1439	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	16.03.2020	5.9	1.09																					
1440	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	23.03.2020	6.77	1.39																					
1441	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	06.04.2020	6.24	1.26		1.72	1.2			2	130		120												
1442	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	13.04.2020	6.19	1.06																					
1443	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	20.04.2020	6.06	0.93			1.1																		
1444	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	27.04.2020	6.14	0.75			0.5																		
1445	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.05.2020	6.02	0.62			1.5																		
1446	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	11.05.2020	6.13	0.63		0.93	1.7			2	93		100												
1447	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	18.05.2020	6.46	0.79			0.8																		
1448	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	25.05.2020	5.88	0.22			2.1																		
1449	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	01.06.2020	6.35	0.51			1.1																		
1450	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	08.06.2020	6.21	0.28		0.66	1.6			2	66		50												
1451	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	22.06.2020	6.44	0.37																					
1452	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	06.07.2020	6.08	0.27		0.75	2.7			2	100		40												
1453	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	03.08.2020	6.46	0.79		1.15	3.2			2	110		90												
1454	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	10.08.2020	6.62	1.42																					
1455	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	24.08.2020	6.13	0.35																					
1456	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	07.09.2020	6.2	0.57		1.3	2.3			2	140		72												
1457	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	21.09.2020	6.5																						
1458	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	05.10.2020	6.4	0.68		1.2	1.8			2	120		81												
1459	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	19.10.2020	6.7																						
1460	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	02.11.2020	6.2	0.57		1.3	2.6			2.9	130		63												
1461	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	16.11.2020	6																						
1462	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	30.11.2020	6.6																						
1463	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	07.12.2020	6.3	1.1		2.4	1.3			2	160		160												
1464	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	20.12.2020	6.4																						
1465	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.01.2021	6.5	1.3		2.8	1			2	230		230												
1466	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	11.01.2021	6.6	1.5		2.8	0.89			2	240		220												
1467	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	17.01.2021	6.5	1.5																					
1468	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	01.02.2021	6.5	1.4		2.8	0.81			2.4	270		260												
1469	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	08.02.2021	6.5	1.6		3.4	0.67			2	280		290												
1470	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	15.02.2021	6.5	1.7																					
1471	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	22.02.2021	6.2	0.62																					
1472	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	01.03.2021	6.4	0.81		1.5	2			3.7	210		150												
1473	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	08.03.2021	6.6	0.95																					
1474	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	15.03.2021	6.5	1																					
1475	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	22.03.2021	6.4	0.82																					
1476	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	29.03.2021	6.4	0.92																					
1477	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	05.04.2021	6.4	0.78		1.4	1.9			2	150		120												
1478	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	12.04.2021	6.5	1.1																					
1479	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	19.04.2021	6.5	0.85																					
1480	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	26.04.2021	6.5	0.84																					
1481	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	03.05.2021	6.4	0.83		1.6	1.2			2	170		110												
1482	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	10.05.2021	6.4	0.82																					
1483	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	17.05.2021	6.4	0.49																					
1484	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	24.05.2021	6.4	0.46																					
1485	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	31.05.2021	6.4	0.52																					
1486	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	12.06.2021	6.5	0.63		0.77	0.86			2	93		65												
1487	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	22.06.2021	6.4	0.64																					
1488	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	05.07.2021	6.4	0.69		1.4	2			3.3	190		160												
1489	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	12.07.2021	6.6	0.74		1.3	1.9			2	120		88												
1490	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	19.07.2021	6.7	1.1																					
1491	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	02.08.2021	6.6	0.87		1.4	1.8			2	150		110												
1492	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	09.08.2021	6.7	1.2		2	0.93			2	230		180												
1493	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	16.08.2021	6.3	0.56																					
1494	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	30.08.2021	6.7	1.4																					
1495	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	06.09.2021	6.8	1.3		2.6	0.79			2	240		220												
1496	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	20.09.2021	6.7	1.3																					
1497	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.10.2021	6.4	0.74		1.5	2.2			2	170		58												
1498	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	18.10.2021	6.9	0.96																					
1499	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	01.11.2021	6.4	0.74		1.2	2.1			2	110		49												
1500	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	15.11.2021	6.7	1.1																					
1501	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	29.11.2021	6.4	1.2																					
1502	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	06.12.2021	6.3	1.3		2.8	0.93			2	230		200												
1503	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	20.12.2021	6.2	0.59																					
1504	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	03.01.2022	6.2	0.44		0.53	2.3			2.8	170		79												
1505	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	10.01.2022	6.4	1.1		2.6	0.9			2	220		190												
1506	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	17.01.2022	6.1	0.71																					
1507	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	31.01.2022	6.1	0.62		1.1	0.78			2	120		78												
1508	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	07.02.2022	6.2	1		1.9	0.99			2	170		140												
1509	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	14.02.2022	5.9	0.98																					
1510	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	21.02.2022	6.4	1.4																					
1511	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	28.02.2022	6.3	1.4																					
1512	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	07.03.2022	6.4	1.2																					
1513	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	14.03.2022	6.7	1.3																					
1514	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	21.03.2022	6.2	1.2																					
1515	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	28.03.2022	6.2	1.2																					
1516	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.04.2022	6.3	1.3		1.9	0.57			2	180		150												
1517	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	11.04.2022	6.4	1.3																					
1518	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	18.04.2022	6.3	1																					
1519	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	25.04.2022	6.1	0.76																					
1520	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	02.05.2022	6.2	0.9		1.3	0.84			2	180		99												
1521	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	09.05.2022	6.2	0.76																					
1522	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	16.05.2022	6.2	0.6																					
1523	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	23.05.2022	6.3	0.53																					
1524	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	30.05.2022	6.6	0.68																					
1525	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	06.06.2022	6.3	0.65		0.81	1.2			2	94		41												
1526	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	20.06.2022	6.6	0.63																					
1527	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.07.2022	6.5	0.84		1.1	0.68			2	130		75												
1528	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	11.07.2022	6.6	0.87		1.3	0.93			2	130		69												
1529	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	18.07.2022	6.4	0.76																					
1530	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.08.2022	6.2	0.74		1.2	2.6			2	210		89												
1531	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	11.08.2022	6.4	1		1.4	0.96			2	190		110												
1532	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	01.09.2022	6.7	1.2																					
1533	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	05.09.2022	6.6	1.1		2.4	0.47			2	260		190												
1534	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	19.09.2022	6.3	0.98																					
1535	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	03.10.2022	6.6	0.7		1.4	1.9			2	150		83												
1536	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	17.10.2022	6.2	0.59																					
1537	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	31.10.2022	6.4	0.79		1.5	1.9			2	170		59												
1538	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	14.11.2022	6.4	0.93																					
1539	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	28.11.2022	6.4	0.98																					
1540	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	05.12.2022	6.5	1.5		2.8	1.1			2	210		200												
1541	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	19.12.2022	6.4	1.5																					
1542	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	02.01.2023	5.8	0.88		2.4	1.4			2	250		240												
1543	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	09.01.2023	5.8	0.78		1.6	2			9.8	240		170												
1544	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	16.01.2023	6.5	1.1																					
1545	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	30.01.2023	6.1	0.77		1.4	1.8			2	150		150												
1546	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	06.02.2023	6.3	1.2		2.4	0.89			2	190		170												
1547	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	13.02.2023	5.9	0.85																					
1548	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	20.02.2023	6.5	1.1																					
1549	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	27.02.2023	6.3	1.3		2.4	0.82			2	140		160												
1550	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	06.03.2023	6.7	1.5																					
1551	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	13.03.2023	6.5	1.4																					
1552	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	20.03.2023	5.9	0.82																					
1553	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	27.03.2023	6.3	0.9																					
1554	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	03.04.2023	6	1.4		2.4	0.74			2	170		190												
1555	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	10.04.2023	6.6	0.88																					
1556	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	17.04.2023	6.4	0.74																					
1557	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	24.04.2023	6.5	0.7																					
1558	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	01.05.2023	6.1	0.98		1.7	1.1			2	120		120												
1559	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	08.05.2023	6.7	0.8																					
1560	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	15.05.2023	6.4	0.68																					
1561	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	22.05.2023	6.5	0.63																					
1562	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	29.05.2023	6.5	0.67																					
1563	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	05.06.2023	6.3	0.64		0.71	0.73			2	92		40												
1564	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	19.06.2023	6.4	0.58																					
1565	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	06.07.2023	6.3	0.79		1.2	2			2	120		69												
1566	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	10.07.2023	6.6	0.98		1.4	1.4			2	140		96												
1567	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	17.07.2023	6.6	0.73																					
1568	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	31.07.2023	6.4	0.87		1.4	1.8			2	150		78												
1569	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	07.08.2023	6.3	1.1		1.8	1.2			2.2	180		180												
1570	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	15.08.2023	6.4	0.44																					
1571	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	28.08.2023	6.4	0.73																					
1572	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	04.09.2023	6.1	0.73		1.4	3.1			3.2	150		63												
1573	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	18.09.2023	6.4	0.75																					
1574	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	03.10.2023	6.3	0.8		1.7	2.2			2	100		52												
1575	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	16.10.2023	6.3	0.77																					
1576	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	31.10.2023	6.3	1.6		2.8	1			2	170		220												
1577	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	13.11.2023	6.9	1.5																					
1578	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	27.11.2023	7.1	1.4																					
1579	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	18.12.2023	6.1	0.68																					
1580	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	05.01.2024	6.4	1.7		3	0.95			2	200		310												
1581	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	15.01.2024	6.5	1.6																					
1582	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	29.01.2024	6.1	0.96		1.5	1.1			2	120		82												
1583	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	07.02.2024	6.3	1.5																					
1584	Lyseelva	031-38523	Lyse†na ved utl?p (VK4)	19.02.2024	6	0.91																					
